imgId,Link,application
2430_dash_dashboard1.png,https://github.com/AnaMakarevich/DAND/blob/45069dd89c0a016cd9d5e811b71a977f0042b3f3/Projects/Project_8_Chytridiomycosis/Chytridiomycosis_final.twbx,health
2589_dash_dashboard0.png,https://github.com/jainvaibhav62/Tree-Census-Tableau-Dashboard/blob/bf41785b47f878a16043e1c2a373f3a1e4021659/Tree_Census_Tableau_Dashboard.twbx,health
10149_dash_dashboard0.png,https://github.com/snnclsr/buyuk_veri_analizi/blob/6cc2898155db2563275827d680deaab4d697af29/week2/Tableau_University_Roadshow_Solution.twbx,health
7127_dash_dashboard0.png,https://github.com/Ama284/Tableau-Workshop---Agriculture-Data/blob/674ad37c4b514f9f7a25216c394ad84e25f01cd1/Workshop-%20Agriculture%20Data.twbx,health
8163_dash_dashboard0.png,https://github.com/seong-hyun-choi/IronHack-DATA-FT-2020-JUN/blob/95bc2c7f7f476a00d27fd75c1f0bb505f6793571/Week%2005_Day4_a_BI%20Analysis%20with%20Tableau/aula1-ft202006.twbx,business
1665_dash_dashboard0.png,https://github.com/data301-2021-winter1/project-group41-project/blob/bb042f15ed9ab7cf14316c4c490416124df688d1/dashboard/tableau_1.twbx,business
8117_dash_dashboard1.png,https://github.com/soundharyaa-tv/Data-Visualization-Tableau/blob/7e773c63cc687c0722f05cd185e1ea0399cbdfbe/Customer%20Value%20Analysis%20of%20Car%20Insurance.twbx,business
8117_dash_dashboard2.png,https://github.com/soundharyaa-tv/Data-Visualization-Tableau/blob/7e773c63cc687c0722f05cd185e1ea0399cbdfbe/Customer%20Value%20Analysis%20of%20Car%20Insurance.twbx,business
8117_dash_dashboard3.png,https://github.com/soundharyaa-tv/Data-Visualization-Tableau/blob/7e773c63cc687c0722f05cd185e1ea0399cbdfbe/Customer%20Value%20Analysis%20of%20Car%20Insurance.twbx,business
8117_dash_dashboard4.png,https://github.com/soundharyaa-tv/Data-Visualization-Tableau/blob/7e773c63cc687c0722f05cd185e1ea0399cbdfbe/Customer%20Value%20Analysis%20of%20Car%20Insurance.twbx,business
8117_dash_dashboard5.png,https://github.com/soundharyaa-tv/Data-Visualization-Tableau/blob/7e773c63cc687c0722f05cd185e1ea0399cbdfbe/Customer%20Value%20Analysis%20of%20Car%20Insurance.twbx,business
8117_dash_dashboard6.png,https://github.com/soundharyaa-tv/Data-Visualization-Tableau/blob/7e773c63cc687c0722f05cd185e1ea0399cbdfbe/Customer%20Value%20Analysis%20of%20Car%20Insurance.twbx,business
7191_dash_dashboard0.png,https://github.com/smartinternz02/SPS-9379-Insurance/blob/dc569102ef3afd0498f247c4fb420af1a765afc1/Insurance%20DataViz%20Project.twbx,business
8229_dash_dashboard3.png,https://github.com/hjfeldy/CADO/blob/98eb68510bb97a274693676b7561ce12eeefeb1d/Tableau/Cado%20Creations.twbx,business
8229_dash_dashboard0.png,https://github.com/hjfeldy/CADO/blob/98eb68510bb97a274693676b7561ce12eeefeb1d/Tableau/Cado%20Creations.twbx,business
8229_dash_dashboard2.png,https://github.com/hjfeldy/CADO/blob/98eb68510bb97a274693676b7561ce12eeefeb1d/Tableau/Cado%20Creations.twbx,business
8229_dash_dashboard1.png,https://github.com/hjfeldy/CADO/blob/98eb68510bb97a274693676b7561ce12eeefeb1d/Tableau/Cado%20Creations.twbx,business
6345_dash_dashboard0.png,https://github.com/lukaszksiezak/DataScience-Studies/blob/f9b01f225d6df61da6b7ef73357854a134fa5976/WWD/LAB/Przyklady_Tableau/5.%20Parametry/Parameters%20-%20STARTER.twbx,business
8233_dash_dashboard0.png,https://github.com/Just-Abdul/Tableau/blob/1203aa75ec4f31018876c4011fd315339a12a00d/E-scooter.twbx,business
7172_dash_dashboard0.png,https://github.com/alexretana/Tableau-Boat-Sales/blob/886bab7b8956ff3c317cb21920dceb4b353ebf9e/CatamaransSalesPortalAnalysis.twbx,business
7727_dash_dashboard0.png,https://github.com/mansivagarwal/TableauDashboards/blob/6f980dbe41df97976e8e0588579ff4d859e5bad3/Tableau%20Part%201/Dashboards%20and%20Stories/dashboard_objects_0.twbx,business
7770_dash_dashboard0.png,https://github.com/madina-gif/intro/blob/cd59d6784df780dabf4dc70e27c29078a7994b2e/World%20Indicators.twbx,business
1545_dash_dashboard2.png,https://github.com/shoaibnadafgit/Tableau/blob/e0e78bc5fa3b9dcbe6486f81a3b64205ecfcfe98/Customer%20Service%20Center%20Project.twbx,business
2147_dash_dashboard0.png,https://github.com/hlaingwintunn/HlaingWinTun_Bdpg_Assignment/blob/f8ff3f4f6e8b789a46b507d15885c29574bed717/bdpg_CarPricePrediction_Analytics.twbx,business
3342_dash_dashboard2.png,https://github.com/balabila02/Tableau-EDA-Claim-car-Status-/blob/0cea245e88c277622e0bd6bf6ede68d3097ccb35/Car%20claims%20for%20insurance.twbx,business
3352_dash_dashboard0.png,https://github.com/golhersavita/DataScience-projects/blob/7833765fc963e5ef99e41dfb6cca7c8d5cb99378/Tableau%20assignment-1.twbx,business
9677_dash_dashboard4.png,https://github.com/RP-DrTan/FYP-SOI-2020-0030/blob/fe481881d05aac139eab323d3bddb36f5c6a8e8b/Hotel%20Tableau%20WB%20(Janelle).twbx,business
1545_dash_dashboard1.png,https://github.com/shoaibnadafgit/Tableau/blob/e0e78bc5fa3b9dcbe6486f81a3b64205ecfcfe98/Customer%20Service%20Center%20Project.twbx,business
8976_dash_dashboard1.png,https://github.com/Bohaukish/TableauNotes/blob/f23b07f34c91b0509050c3ab6c2a19b501aa99f6/Credit%20Risk%20Visulization%20Task/Credit%20Risk%20Visulization%20Task.twbx,business
8976_dash_dashboard0.png,https://github.com/Bohaukish/TableauNotes/blob/f23b07f34c91b0509050c3ab6c2a19b501aa99f6/Credit%20Risk%20Visulization%20Task/Credit%20Risk%20Visulization%20Task.twbx,business
8976_dash_dashboard2.png,https://github.com/Bohaukish/TableauNotes/blob/f23b07f34c91b0509050c3ab6c2a19b501aa99f6/Credit%20Risk%20Visulization%20Task/Credit%20Risk%20Visulization%20Task.twbx,business
3904_dash_dashboard0.png,https://github.com/SimRaina/Tableau/blob/52392811158b1eb75818d09dc16b142b98225e68/SuperStore-Sample.twbx,business
3946_dash_dashboard0.png,https://github.com/deepwindlee/MySQL-with-Python-DATA-MINING/blob/676f09be4bb8ddf68c7143efaf6be38f457428e9/%E5%AE%A2%E6%88%B7%E7%95%99%E5%AD%98%E4%B8%8E%E7%94%9F%E5%91%BD%E5%91%A8%E6%9C%9F_v2019.3.twbx,business
3475_dash_dashboard2.png,https://github.com/chriswang94/Projects/blob/bb7cc42f08130437b95951cc4d12a17c1a6d9a90/B.%20Movies%20Visualization.twbx,business
